unique_identifier,usage,status
0178d1163bbde80e3544dbe317d65b8e,9728.0,ACTIVE
017d3706f89420dfd76840a14a9195d6,161062.0,ACTIVE
017da5518e047d756cd71353be8562db,928.0,ACTIVE
017e08058c81da53825ad8af40c14815,1835.0,FINALLED
017fd5017f296259fca3da3b37d9b303,74876.9,FINALLED
01819af1fc5d178435d09064dee3e601,8853.0,FINALLED
018234ef85d9f4f152f5a97efc98d53c,55240.0,FINALLED
0183f5a6aa67def66bb658933a184549,82858.0,ACTIVE
0184a74e5cd9a053ebff0f26fc0aa2d2,4463.0,ACTIVE
01894abeb89605a6ed2b167ab5a57884,95800.0,ACTIVE
01898b3709f547df8f78bbb41840bcb3,13913.0,ACTIVE
0189b8ea1ee0cfda2c49c6db40d72579,12099.0,ACTIVE
018a0997a77ebc5551462b7a3b5e5ce4,3470.0,ACTIVE
018a8ead7c7f522c74843e8ba0498bcf,102841.7,FINALLED
018c42ffd766a67e9bf6eb47891ac9b4,19539.3,ACTIVE
018dabb8f1ad32010a778f4a9eb0d3cd,76273.0,FINALLED
018ec558c7b1db54f4b493fb6ca6b555,13226.0,ACTIVE
0191028bcb0acac884bcdc783cfcdbb4,17000.0,FINALLED
01936a72f18907c166358c81d54bf87d,78537.0,ACTIVE
0194cd495090b6dd7667beb0657c643b,9038.0,FINALLED
0196f12dd160b4f9c9f1058be0f2fc47,24520.0,FINALLED
0198ec4edfa7e87c216f39747485aeb8,5399.0,ACTIVE
01993bc19ac58a4094084b16f5904435,39509.3,FINALLED
01993efca4a632de48aea0e64db5c238,14301.0,ACTIVE
019974f48f7327f1d291fcd8216781d9,12175.0,ACTIVE
019b70147b78a066e76e6e9cb7cc40bb,22273.0,ACTIVE
019c2b595ddc038f9d88db82b8ffb18f,6922.0,ACTIVE
019c88799ca742d52f7630635226db14,38520.0,ACTIVE
019e33194a37edbc0e5fe851e4f4029c,9681.0,FINALLED
019ea6db30412b45f6ba69aa9d17d529,1862.0,ACTIVE
01a13940dffda032a1b5e421d49c0296,17060.0,FINALLED
01a1868178d4fd63338c4bbc0a9c89ea,43932.0,FINALLED
01a19a92cd458bb9c6efee788b3e1bb0,11425.0,ACTIVE
01a1f1a3492fdd0460aaa567f65de329,5969.0,FINALLED
01a2f64e6e700f9f1c4d926bd17caa07,9415.0,ACTIVE
